StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3,Q4,Q5,Q6,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is/are your native language(s),What dialect(s) of English do you speak?,Do Ellen and Allen sound the same to you?,Do Air and Ear sound the same to you?,Put your hand in front of your mouth and whisper ‘matter’.  Do you feel a distinct puff of air?,Do you pronounce an ‘r’ sound in the word ‘work’?,"Whisper ‘the apple’ to yourself?  Does the sound at the end of ‘the’ rhyme with
‘tree’?",Is this a sentence you could say in your variety of English?  “I think there’s a open door”,Is this a sentence you could say?  “there’s five dogs in the park”,Is this a sentence you could say? “there are many problems”,"Say 'more or less' 
Do you pronounce an ‘r’ at the end of ‘more’?","Say 'I saw a cat"".   Do you pronounce an ‘r’ at the end of ‘saw’?",Is this a sentence you could say?  “the car needs washed”.,Say ‘seesawing’.  Does it contain an ‘r’ sound?,'Bach' or 'Crib'?,Which of these is the name of the childhood chasing game?,How do you say 'apple' in Pig Latin?,How many syllables in the word 'grown'?,Does 'pear' rhyme with 'share'?,"Does ""pool"" rhyme with ""food""?",Are 'doll' and 'dole' pronounced the same?,Do you think Aucklanders sound different from people from Christchurch?,Do you think you could guess whether someone is Māori or Pākeha from listening to them?,Would it be easier to guess someone's age or job from the way they sound?,What does the word 'worry' rhyme with?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1714401704_TEXT""}","{""ImportId"":""QID1714401705_TEXT""}","{""ImportId"":""QID1714401706""}","{""ImportId"":""QID1714401707""}","{""ImportId"":""QID1714401708""}","{""ImportId"":""QID1714401709""}","{""ImportId"":""QID1714401685""}","{""ImportId"":""QID1714401686""}","{""ImportId"":""QID1714401687""}","{""ImportId"":""QID1714401688""}","{""ImportId"":""QID1714401689""}","{""ImportId"":""QID1714401690""}","{""ImportId"":""QID1714401691""}","{""ImportId"":""QID1714401692""}","{""ImportId"":""QID1714401693""}","{""ImportId"":""QID1714401694""}","{""ImportId"":""QID1714401696""}","{""ImportId"":""QID1714401697""}","{""ImportId"":""QID1714401698""}","{""ImportId"":""QID1714401699""}","{""ImportId"":""QID1714401700""}","{""ImportId"":""QID1714401701""}","{""ImportId"":""QID1714401702""}","{""ImportId"":""QID1714401703""}","{""ImportId"":""QID28""}"
18/07/2022 1:27,18/07/2022 1:33,100,339,TRUE,18/07/2022 1:33,R_2AKjZoiFFo17SH7,,,,,-43.5379,172.6151,anonymous,EN,English,"NZE,",No,Yes,Maybe?,No,Yes,"It sounds ok to me, but I wouldn't say it",Yes,Yes,Yes,Yes,No,Yes,Bach,Tag,l-appay,1,Yes,No,No,Yes,Yes,age,lorry
19/07/2022 0:13,19/07/2022 0:23,100,570,TRUE,19/07/2022 0:23,R_3MfcPTF8THicJMP,,,,,-43.5264,172.525,anonymous,EN,English,NZ English,Yes,Yes,Definitely,No,No,No,It sounds ok to me but I wouldn't say it,It sounds ok to me but I wouldn't say it,Yes,Yes,No,Yes,Bach,Tag,apay-elay,depends on the context you use it in,Yes,No,Yes,Yes,Yes,age,lorry
19/07/2022 0:35,19/07/2022 0:39,100,251,TRUE,19/07/2022 0:39,R_1js1l4KDrKjMXMk,,,,,-43.5379,172.6151,anonymous,EN,NZE,NZE,No,No,Definitely,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Bach,Tiggy,appleay,1,Yes,No,No,Yes,Yes,age,hurry
19/07/2022 20:25,19/07/2022 20:30,100,277,TRUE,19/07/2022 20:30,R_21ddIWqFTAapv2U,,,,,-43.5379,172.6151,anonymous,EN,English,GenAmerican,No,No,Definitely not,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Bach,Tag,other,1,Yes,No,No,Yes,Yes,age,hurry
19/07/2022 21:35,19/07/2022 21:39,100,265,TRUE,19/07/2022 21:39,R_2RWiaAqUuxHxffs,,,,,-43.5379,172.6151,anonymous,EN,English,NZE,No,No,Definitely not,No,Yes,"It sounds ok to me, but I wouldn't say it",Yes,Yes,Yes,Yes,No,Yes,Bach,Tag,appleyay,depends on the context you use it in,Yes,No,Yes,Yes,No,age,lorry
20/07/2022 20:55,20/07/2022 21:01,100,343,TRUE,20/07/2022 21:01,R_3O7fTRWKNdVQobl,,,,,-43.5379,172.6151,anonymous,EN,English,New Zealand English,Yes,Yes,Maybe?,Yes,No,"It sounds ok to me, but I wouldn't say it",Yes,It sounds ok to me but I wouldn't say it,No,Yes,No,No,Bach,Tag,what on earth are you talking about?,2,Yes,Yes,Yes,Yes,Yes,job,lorry
20/07/2022 21:40,20/07/2022 21:47,100,390,TRUE,20/07/2022 21:47,R_6KWzl9CgxfJ6T6N,,,,,-43.5379,172.6151,anonymous,EN,In order of descending proficiency - English - Chinese - Japanese,I'm not quite sure myself.,No,Yes,Definitely,No,No,Yes,Yes,Yes,Yes,No,"It sounds ok to me, but I wouldn't say it",No,Bach,Tag,appleyay,1,Yes,No,Yes,No,Yes,age,lorry
20/07/2022 21:55,20/07/2022 22:00,100,328,TRUE,20/07/2022 22:00,R_22rZSOpF42g2b4F,,,,,-43.5379,172.6151,anonymous,EN,Korean,NZE,Yes,Yes,Maybe?,No,No,"It sounds ok to me, but I wouldn't say it",No,Yes,No,Yes,No,No,Bach,Tag,what on earth are you talking about?,1,No,No,Yes,No,No,age,lorry
21/07/2022 1:58,21/07/2022 2:02,100,213,TRUE,21/07/2022 2:02,R_2ClXbBuNgwSn8cI,,,,,-43.5379,172.6151,anonymous,EN,Malay,New Zealand Dialect,Yes,No,Definitely,No,No,No,Yes,Yes,Yes,Yes,No,No,Crib,Tag,what on earth are you talking about?,1,Yes,No,No,No,Yes,age,lorry
21/07/2022 17:54,21/07/2022 17:57,100,177,TRUE,21/07/2022 17:57,R_2sZMWIHpLqXsHJr,,,,,-43.5379,172.6151,anonymous,EN,English,NZE,Yes,Yes,Maybe?,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Crib,Tag,appleay,1,Yes,No,Yes,Yes,Yes,job,lorry
21/07/2022 19:05,21/07/2022 19:14,100,497,TRUE,21/07/2022 19:14,R_1obzwdIBNi9zV7p,,,,,-43.5379,172.6151,anonymous,EN,English,New Zealand English,Yes,Yes,Maybe?,No,No,No,Yes,Yes,Yes,No,No,No,I have no idea what you're talking about,Tag,l-appay,depends on the context you use it in,Yes,No,Yes,No,Yes,age,hurry
21/07/2022 19:16,21/07/2022 19:20,100,213,TRUE,21/07/2022 19:20,R_yVeDIK8kfCHxBCh,,,,,-43.5236,172.5782,anonymous,EN,English,"British English, A weird version i got from living abroad, Maybe Kiwi English, Probably American English",No,No,Maybe?,No,Yes,"It sounds ok to me, but I wouldn't say it",Yes,No,Yes,Yes,No,Yes,Bach,Tag,l-appay,1,Yes,No,No,Yes,Yes,age,hurry
21/07/2022 20:56,21/07/2022 20:59,100,203,TRUE,21/07/2022 20:59,R_2chB5HUTLNT3Acq,,,,,-43.5236,172.5782,anonymous,EN,English,"Sort of NZE, sort of RP, sort of North Cumbrian English?",No,No,Definitely not,No,Yes,Yes,It sounds ok to me but I wouldn't say it,Yes,No,No,No,No,I have no idea what you're talking about,Tag,apay-elay,1,Yes,No,No,Yes,Yes,age,hurry
22/07/2022 22:02,22/07/2022 22:07,100,280,TRUE,22/07/2022 22:07,R_2aUzTNuAmiwS15v,,,,,-43.5379,172.6151,anonymous,EN,Cantonese,New Zealand,No,No,Definitely,No,Yes,No,Yes,Yes,No,No,No,Yes,Bach,Tag,what on earth are you talking about?,depends on the context you use it in,Yes,,Yes,Yes,Yes,age,lorry
24/07/2022 21:08,24/07/2022 21:19,100,639,TRUE,24/07/2022 21:19,R_2agacB1eD5ukNIB,,,,,-43.5379,172.6151,anonymous,EN,English,New Zealand English,Yes,Yes,Definitely,Yes,No,No,Yes,Yes,Yes,No,No,No,Bach,Tag,what on earth are you talking about?,depends on the context you use it in,Yes,No,No,Yes,Yes,age,hurry
25/07/2022 19:56,25/07/2022 19:57,100,91,TRUE,25/07/2022 19:57,R_23WBLxrmFCE4phQ,,,,,-41.3675,174.7153,anonymous,EN,English ,NZE and British English ,No,No,Definitely,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Bach,Tag,appleay,1,Yes,No,Yes,Yes,Yes,age,hurry
28/07/2022 20:34,28/07/2022 20:37,100,159,TRUE,28/07/2022 20:37,R_1QovdVeYDlCt7IW,,,,,-43.5236,172.5782,anonymous,EN,English,NZE,No,Yes,Maybe?,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Bach,Tag,other,1,Yes,No,Yes,Yes,No,age,lorry
